,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,eye_clean,culet_size,culet_condition,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,fluor_color,fluor_intensity,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,total_sales_price
50,Round,H,VVS2,0.1,Very Good,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,226
51,Round,F,VS2,0.1,Very Good,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,228
52,Round,F,VS2,0.1,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,228
53,Round,F,VS2,0.1,Very Good,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,228
54,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Excellent,unknown,N,unknown,61.4,58,2.9,2.93,1.79,M,M,unknown,None,unknown,unknown,unknown,unknown,228
55,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Excellent,unknown,unknown,Abraded,62,56,2.88,2.9,1.79,M,STK,unknown,None,unknown,unknown,unknown,unknown,228
56,Round,E,VVS2,0.11,Very Good,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,230
57,Round,F,VVS2,0.11,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,230
58,Round,E,VVS1,0.11,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,230
59,Round,E,IF,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,60.3,60.5,2.91,2.92,1.76,M,M,unknown,None,unknown,unknown,unknown,unknown,230
60,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,unknown,Chipped,60.9,66,2.83,2.85,1.73,STK,TK,unknown,None,unknown,unknown,unknown,unknown,230
61,Round,E,VVS1,0.09,Excellent,IGI,Excellent,Very Good,unknown,N,unknown,63.3,56.5,2.83,2.85,1.79,STK,TK,unknown,None,unknown,unknown,unknown,unknown,232
62,Round,E,VVS1,0.09,Excellent,IGI,Excellent,Excellent,unknown,N,unknown,61.3,57.5,2.88,2.94,1.78,M,M,unknown,None,unknown,unknown,unknown,unknown,232
63,Round,E,VVS1,0.09,Excellent,IGI,Excellent,Excellent,unknown,N,unknown,60.4,59.5,2.87,2.9,1.74,M,M,unknown,Very Slight,unknown,unknown,unknown,unknown,232
64,Round,E,VVS1,0.09,Excellent,IGI,Excellent,Excellent,unknown,N,unknown,61.6,57.5,2.87,2.88,1.77,M,STK,unknown,None,unknown,unknown,unknown,unknown,232
65,Round,G,VVS2,0.1,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,59.7,60,3.06,3.08,1.83,M,unknown,unknown,None,unknown,unknown,unknown,unknown,236
66,Round,M,SI2,0.3,Excellent,IGI,Excellent,Excellent,unknown,N,unknown,62.2,60.5,4.26,4.29,2.66,M,M,unknown,None,unknown,unknown,unknown,unknown,240
67,Round,J,I1,0.3,Very Good,IGI,Excellent,Excellent,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,240
68,Round,E,VS1,0.13,Excellent,IGI,Very Good,Excellent,unknown,unknown,unknown,0,0,0,0,0,unknown,unknown,unknown,Very Slight,unknown,unknown,unknown,unknown,240
69,Round,L,I2,0.34,Excellent,GIA,Excellent,Very Good,Yes,N,unknown,62.2,57,4.45,4.48,2.78,M,STK,Blue,Medium,unknown,unknown,unknown,unknown,242
70,Pear,L,SI2,0.34,unknown,GIA,Very Good,Very Good,unknown,N,unknown,59.6,58,5.95,3.93,2.34,M,M,unknown,Faint,unknown,unknown,unknown,unknown,244
71,Round,G,VVS1,0.11,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.2,60,3.1,3.14,1.91,VTN,M,unknown,None,unknown,unknown,unknown,unknown,244
72,Round,G,VVS1,0.11,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,62,61.5,3.06,3.11,1.92,M,STK,unknown,Very Slight,unknown,unknown,unknown,unknown,244
73,Round,J,VS2,0.17,Excellent,GIA,Very Good,Very Good,unknown,unknown,unknown,61.2,57,3.61,3.63,2.22,unknown,unknown,unknown,Faint,unknown,unknown,unknown,unknown,246
74,Round,D,VS1,0.11,Very Good,IGI,Very Good,Excellent,unknown,N,unknown,62.4,61,3.08,3.1,1.93,TN,M,unknown,Very Slight,unknown,unknown,unknown,unknown,246
75,Round,D,VS1,0.11,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,60.5,60.5,3.14,3.17,1.91,TN,M,unknown,None,unknown,unknown,unknown,unknown,246
76,Round,M,VS2,0.31,Excellent,IGI,Excellent,Excellent,Yes,unknown,Pointed,59.9,60.5,4.38,4.4,2.63,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,246
77,Round,G,I2,0.3,Excellent,GIA,Excellent,Very Good,unknown,unknown,unknown,62.2,56,4.28,4.3,2.67,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,250
78,Oval,L,VS2,0.3,unknown,GIA,Very Good,Excellent,unknown,N,unknown,63.6,58,5.14,3.74,2.38,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,250
79,Pear,M,SI1,0.3,unknown,GIA,Very Good,Very Good,unknown,N,Pointed,55.5,61,5.73,3.96,2.2,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,252
80,Round,K,SI2,0.3,Excellent,IGI,Excellent,Excellent,unknown,unknown,unknown,0.6,0.63,4.28,4.33,2.6,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,252
